,Player,Team,Pos,Injury,Status,Est. Return
37,Masataka Yoshida,BOS,DH,Shoulder surgery (labral repair),10-Day IL,
38,Javier Assad,CHC,SP,Strained oblique,15-Day IL,
39,Vidal Bruján,CHC,OF/INF,Sprained elbow,10-Day IL,
40,Tyson Miller,CHC,RP,Hip impingement,15-Day IL,
41,Ryan Brasier,CHC,RP,Hip discomfort,15-Day IL,
42,Justin Steele,CHC,SP,Elbow surgery,15-Day IL,
43,Bryan Ramos,CHW,3B,Strained elbow,Activated,04/11/25
44,Jesse Scholtens,CHW,SP,Tommy John surgery,60-Day IL,
45,Prelander Berroa,CHW,SP,Tommy John surgery,60-Day IL,
46,Drew Thorpe,CHW,SP,Tommy John surgery,60-Day IL,
47,Josh Rojas,CHW,INF,Fractured toe,10-Day IL,
48,Mike Tauchman,CHW,OF,Strained hamstring,Activated,04/06/25
49,Tyler Gilbert,CHW,RP,Knee bursitis,Activated,04/08/25
50,Andrew Benintendi,CHW,OF,Strained groin,10-Day IL,
51,Mike Tauchman,CHW,OF,Strained hamstring,10-Day IL,
52,Fraser Ellard,CHW,RP,Strained hamstring,15-Day IL,
53,Korey Lee,CHW,C,Sprained ankle,10-Day IL,
54,Austin Slater,CHW,OF,Meniscus tear (right knee),10-Day IL,
55,Ky Bush,CHW,SP,Tommy John surgery,60-Day IL,
56,Rhett Lowder,CIN,SP,Strained forearm,15-Day IL,
57,Tyler Stephenson,CIN,C,Strained oblique,10-Day IL,
